Error_Tag,Count
"neg,ortho",2
"gov,constr,lex",2
"constr,prep,agrcase",2
"disc,ref,extra",2
"brev,agrgender",2
"subst,transfer",2
"gov,constr,prep",2
"par,asp",2
"ortho,miss,conj",2
"neg,extra",2
"tense,transfer",2
"gov,ortho,misspell",2
"syntax,lex,subst",2
"transfer,constr,prep",2
"gov,lex,constr",2
"gov,constr,prep,miss",2
"idiom,miss",2
"lex,prep,constr",2
"gender,cs",2
"syntax,constr,neg",2
"lex,disc,extra",2
"syntax,constr,com",2
"not-clear,aux",2
"refl,tense",2
"lex,deriv,num",2
"brev,space",2
"extra,lex,disc",2
"infl,lex",2
"misspell,not-clear",2
"hyphen,extra",2
"prep,altern",2
"constr,refl",2
"idiom,lex,miss",2
"space,subst",2
"constr,idiom,lex",2
"prep,wo",2
"lex,asp,tense",2
"syntax,constr,impers,miss",2
"deriv,subst",2
"morph,transfer",2
"agrnum,tense",2
"transfer,extra",2
"gov,agrcase,num",2
"misspell,miss",2
"asp,transfer",2
"gender,transfer",2
"miss,conj,constr",2
"miss,agrstr",2
"constr,morph",2
"infl,not-clear",2
"hyphen,ref",2
"cs,ortho",2
"agrcase,deriv",2
"prep,not-clear",2
"extra,disc",2
"prep,idiom",2
"miss,mode,transfer",2
"deriv,refl",2
"lex,punct,miss",2
"ref,num",2
"altern,deriv",2
"agrnum,miss",2
"morph,asp",2
"constr,punct",2
"aux,subst",2
"par,subst,lex",2
"transfer,conj",2
"num,idiom",2
"subst,idiom",2
"miss,aux,tense",2
"aux,syntax",2
"constr,transp",2
"agrcase,prep,miss",2
"constr,subst,lex",2
"altern,ortho,subst",2
"infl,gov,prep",2
"ortho,miss,infl,subst",2
"idiom,agrnum",2
"agrnum,asp",2
"constr,lex,agrstr",2
"ortho,deriv,morph",2
"morph,infl,subst",2
"idiom,not-clear",2
"agrstr,lex",2
"ortho,gov,agrcase",2
"wo,tense",2
"wo,prep,miss",2
"gov,space",2
"ortho,gov,gender",2
"not-clear,miss",2
"ortho,subst,infl,miss",2
"subst,prep",2
"ortho,subst,lex",2
"ref,ortho,gov",2
"gov,gender",2
"ortho,extra,lex",2
"transfer,prep",2
"gov,conj",2
"extra,idiom",2
"infl,num",2
"wo,syntax",2
"constr,lex,asp",2
"subst,misspell",2
"agrstr,gov,constr",2
"wo,conj",2
"lex,impers",2
"agrstr,not-clear",2
"ref,lex,gov",2
"constr,ortho",2
"agrcase,morph",2
"gov,neg",2
"wo,ortho,lex",2
"agrgender,tense",2
"gov,constr,syntax",2
"lex,com",2
"refl,extra",2
"constr,agrnum",2
"wo,not-clear",2
"wo,neg,constr",2
"agrgender,syntax",2
"ortho,space,lex",2
"morph,deriv,infl",2
"not-clear,extra",2
"misspell,agrgender",2
"refl,not-clear",2
"ortho,prep",2
"ortho,misspell,transp",2
"tense,aux,miss",2
"lex,refl,extra",2
"ortho,misspell,miss",2
"ortho,misspell,graph",2
"gov,lex,agrcase",2
"ortho,gov,ref",2
"miss,misspell",2
"constr,prep,miss",2
"extra,agrgender",2
"syntax,constr,conj,subst",2
"transfer,disc",1
"prep,extra,conj,miss",1
"disc,constr,ref",1
"lex,subst,mode",1
"morph,deriv,transfer",1
"ref,hyphen",1
"ortho,misspell,agrpers",1
"agrgender,agrcase,miss",1
"wo,deriv",1
"agrgender,gov,transfer,lex",1
"agrpers,agrnum,extra",1
"gov,miss,lex,agrcase,agrpers,agrnum",1
"not-clear,misspell",1
"ortho,agrnum,space",1
"agrnum,agrpers,extra",1
"ref,transfer,extra",1
"space,refl",1
"neg,miss,transfer,punct",1
"extra,morph",1
"miss,prep,agrstr,constr",1
"transfer,ref,extra",1
"constr,miss,gov",1
"asp,punct",1
"conj,constr,transfer",1
"lex,transfer,tense",1
"disc,punct,miss",1
"agrcase,ortho,miss",1
"infl,transfer",1
"ortho,subst,asp",1
"constr,prep,num",1
"constr,transfer,not-clear",1
"disc,lex,agrnum",1
"transfer,aux,extra",1
"neg,wo",1
"lex,ref,subst",1
"prep,transfer,subst",1
"transfer,lex,extra",1
"lex,transfer,punct",1
"gov,agrpers",1
"wo,agrgender,neg",1
"constr,disc,transfer",1
"gender,impers",1
"extra,refl,ref,miss",1
"ortho,deriv,agrnum",1
"ortho,lex,par",1
"wo,constr,transfer",1
"transfer,conj,mode,lex",1
"neg,miss,tense",1
"syntax,conj,miss",1
"disc,ref,miss",1
"ref,ortho,lex",1
"not-clear,lex,miss",1
"ortho,infl,num",1
"agrgender,ref,lex",1
"misspell,asp",1
"lex,ortho,transp",1
"wo,agrstr,lex",1
"neg,tense,agrpers",1
"extra,infl",1
"constr,prep,ortho,miss",1
"lex,constr,prep,miss",1
"constr,ref,miss,conj,miss,lex",1
"ref,wo,infl",1
"refl,deriv,lex",1
"ortho,extra,agrnum,syntax",1
"neg,morph",1
"lex,idiom,asp",1
"morph,infl,altern",1
"disc,idiom",1
"constr,disc,wo",1
"agrstr,constr,prep",1
"ref,extra,impers",1
"wo,asp,neg",1
"brev,gov",1
"transp,ortho,lex",1
"wo,prep,extra",1
"miss,disc,lex",1
"miss,idiom",1
"space,conj,lex",1
"wo,infl",1
"ortho,subst,not-clear",1
"agrstr,lex,not-clear",1
"constr,space,prep",1
"lex,asp,agrstr",1
"brev,aux,miss,gov",1
"extra,com",1
"hyphen,syntax",1
"mode,agrgender",1
"constr,conj,extra",1
"refl,constr,ref,miss",1
"prep,hyphen,miss",1
"gov,constr,agrnum",1
"agrgender,prep,miss",1
"prep,lex,constr",1
"mode,lex",1
"prep,lex,ortho,subst",1
"constr,disc,extra",1
"constr,disc,idiom,ortho",1
"constr,gov,prep",1
"infl,constr",1
"lex,miss,ref,constr",1
"infl,gov,constr",1
"lex,transfer,not-clear",1
"gov,lex,par",1
"agrstr,gov,prep,constr",1
"ortho,infl,constr",1
"ortho,infl,deriv",1
"lex,agrgender,aux",1
"agrpers,ref,asp",1
"ortho,gender,not-clear",1
"aux,gov,agrcase",1
"agrstr,constr,conj,miss,impers",1
"constr,agrstr,conj,miss",1
"gov,constr,ref",1
"agrstr,lex,agrcase",1
